T[K] rho[g/cm^3] En/atom[Ry] Pr[GPa] errEn errPr
8000 1.8 -0.80961314 1032.80586881 0.00035934 0.23854658
8000 2.0 -0.7701644 1276.32282169 0.00033208 0.2295151
8000 2.2 -0.72834964 1549.7575733 0.00048564 0.36301993
8000 2.6 -0.6426518 2170.77956016 0.0003517 0.28111535
11000 0.3 -1.00013866 31.09778778 0.00050136 0.06667841
11000 0.35 -0.99746784 40.81619543 0.00038464 0.0620207
11000 0.4 -0.99472872 52.60299698 0.00033236 0.0642739
11000 0.45 -0.9911466 66.02009369 0.00026418 0.06948152
11000 0.5 -0.98706076 81.1825781 0.00031618 0.10515461
11000 0.55 -0.98255028 98.12712491 0.00031646 0.09821145
11000 0.6 -0.97746162 117.19903999 0.00034716 0.11526833
11000 0.7 -0.96584214 160.27112243 0.00030888 0.12907001
11000 0.8 -0.95280406 210.6060747 0.00042192 0.17144321
11000 0.9 -0.93824406 268.10896869 0.00041186 0.19290672
11000 1.0 -0.92260574 332.86111469 0.000416 0.21529299
11000 1.2 -0.88840316 483.60492313 0.0003718 0.18811024
11000 1.4 -0.85187152 661.35588979 0.00040086 0.21910767
11000 1.6 -0.81305922 866.49681046 0.00040468 0.23943717
11000 1.8 -0.77253196 1098.37143621 0.0003966 0.24848647
11000 2.0 -0.732842 1348.61247857 0.0003927 0.25704313
11000 2.2 -0.69056086 1630.04053176 0.0005729 0.39806463
11000 2.6 -0.60407224 2265.84017403 0.00041464 0.32181059
15000 0.3 -0.97261644 43.7436601 0.00029508 0.05676958
15000 0.35 -0.97067122 56.22995758 0.00025712 0.05170666
15000 0.4 -0.96752402 70.65539523 0.000298 0.0757938
15000 0.45 -0.96359028 86.78432041 0.00026274 0.07112575
15000 0.5 -0.95909382 104.76990682 0.00035488 0.09359915
15000 0.55 -0.9537494 124.66706024 0.00029524 0.09243758
15000 0.6 -0.94800466 146.26166819 0.00036744 0.12463539
15000 0.7 -0.93510308 194.83419898 0.00037088 0.12640949
15000 0.8 -0.92104678 250.20601894 0.00049394 0.18389787
15000 0.9 -0.90529032 313.15188479 0.00056632 0.21629302
15000 1.0 -0.88856462 383.19760488 0.00050784 0.19882456
15000 1.2 -0.85229738 545.04581125 0.00065832 0.31958239
15000 1.4 -0.81409364 733.12378961 0.00069648 0.33969481
15000 1.6 -0.77360234 949.24970752 0.0006373 0.35108335
15000 1.8 -0.73231884 1190.44406242 0.00062698 0.36729624
15000 2.0 -0.69115386 1451.6841433 0.00069974 0.45374869
15000 2.2 -0.64821384 1742.57744063 0.00083276 0.55035955
15000 2.6 -0.56022706 2398.02133689 0.00069746 0.51306824
